Español;English;Français
Presione cualquier tecla para comenzar;Press any key to start;Appuyez sur n'importe quelle clé pour démarrer
Jugar;Play;Jouer
Ajustes;Settings;Paramètres
Salir;Quit;Sortir
Juego nuevo;New game;Nouveau jeu
Continuar;Continue;Continuer
Seleccionar nivel;Select level;Choiris niveau
Atrás;Back;Retourner
General;General;Général
Idioma: ;Language: ;Langue: 
Borrar progreso;Clear progress;Supprimer progression
Sonido;Sound;Son
Volumen;Volume;Volume
Voces;Voices;Voix
Objetos;Objects;Objets
Ambiente;Ambience;Ambiance
Gráficos;Graphics;Graphiques
Calidad:;Quality:;Qualité:
Muy baja;Very low;Très faible
Baja;Low;Faible
Normal;Normal;Normale
Alta;High;Élevée
Muy alta;Very high;Très élevée
La mejor;The best;La meilleure
Fuente de texto:;Text font:;Font du texte:
Por defecto;Default;Par dèfaut
Estándar;Standard;Standard
Controles;Controls;Contrôles
Sensibilidad del ratón;Mouse sensitivity;Sensibilité de la souris
Controles:;Controls:;Contrôles:
Teclado;Keyboard;Clavier
Para zurdos;For left handed;Pour les gauchers
Xbox;Xbox;Xbox
Playstation;Playstation;Playstation
Menú principal;Main menu;Menu principal
